Name,Author,Copyright Details,Recently Added,Hymn,Song,ATN,Notes,,,,,,,,,,,,,,,,,,,,
Now why this fear - CHECK!,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
O Church arise,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
"O Lord, my rock and my redeemer greatest treasure",,,TRUE,FALSE,FALSE,FALSE,GYD Conference Song / Added by Adam,,,,,,,,,,,,,,,,,,,,
O Praise the name (Anastasis),,© 2015 Hillsong Music Publishing Australia; Small City Music,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
O the kindness of our father - lavish generosity,,,TRUE,FALSE,FALSE,FALSE,GYD Conference Song / Added by Adam,,,,,,,,,,,,,,,,,,,,
Of Christ is mine I need no more - he is thr greatest gift of all,,,TRUE,FALSE,FALSE,FALSE,GYD Conference Song / Added by Adam,,,,,,,,,,,,,,,,,,,,
Oh the kindness of our loving father - lavish generosity.,,,TRUE,FALSE,FALSE,FALSE,GYD Conference Song / Added by Adam,,,,,,,,,,,,,,,,,,,,
Oh to see the dawn,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
One Thing Remains,,© 2010 Mercy / Vineyard Publishing; Bethel Music Publishing; ChristaJoy Music Publishing,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
open the eyes of my heart lord,,,TRUE,FALSE,FALSE,FALSE,added by Sue Wise,,,,,,,,,,,,,,,,,,,,
Our God (Water you turned into wine),,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
Praise is rising,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
Praise my soul the king of heaven,,,TRUE,FALSE,FALSE,FALSE,GYD Conference Song / Added by Adam,,,,,,,,,,,,,,,,,,,,
Praise to the lord the almighty,,,TRUE,FALSE,FALSE,FALSE,added by Sue Wise,,,,,,,,,,,,,,,,,,,,
Raise a Hallelujah,,© 2018 Bethel Music Publishing,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
Redeeming God creations song fell silent - and who am I the lowliest of sinners,,,TRUE,FALSE,FALSE,FALSE,GYD Conference Song / Added by Adam,,,,,,,,,,,,,,,,,,,,
Rejoice by Dustin Kenfrue,,,TRUE,FALSE,FALSE,FALSE,added by Sue Wise,,,,,,,,,,,,,,,,,,,,
Rejoice the Lord is King,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
Resurection Hymn,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
Salvations song,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
Saviour Of The World,Ben Cantelon,,TRUE,FALSE,FALSE,FALSE,added by Sue Wise,,,,,,,,,,,,,,,,,,,,
See what a morning,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
Servant King (From heaven you came),,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
Show Us Christ,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
So Will I (100 Billion X),,© 2017 Hillsong Music Publishing Australia,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
Speak O Lord,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
Strength Will Rise,,,TRUE,FALSE,FALSE,FALSE,added by Sue Wise,,,,,,,,,,,,,,,,,,,,
T’is the power of the cross,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
Tell Out My Soul,,,TRUE,FALSE,FALSE,FALSE,added by Ben Bradford,,,,,,,,,,,,,,,,,,,,
Thank You Lord,Richard Heywood,,TRUE,FALSE,FALSE,FALSE,Added by Richard,,,,,,,,,,,,,,,,,,,,
The Blessing,Chris BrownCody CarnesKari JobeSteven Furtick,© 2020 Capitol CMG Paragon; Kari Jobe Carnes Music; Worship Together Music; Writer's Roof Publishing; Music by Elevation Worship Publishing,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
The lion and the lamb,Brenton Brown Brian Johnson Leeland Mooring,© 2015 Meaux Mercy; The Devil Is A Liar! Publishing; Thankyou Music; Bethel Music Publishing,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
The Lord’s my shepherd,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
The one who made the heavens made my heart and soul - makers masterpiece,,,TRUE,FALSE,FALSE,FALSE,GYD Conference Song / Added by Adam,,,,,,,,,,,,,,,,,,,,
There is a higher throne,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
Thine be the glory,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
This I believe (creed),,© 2014 Hillsong Music Publishing Australia,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
This is amazing grace,,© 2012 WC Music Corp.; Phil Wickham Music; Seems Like Music; Sing My Songs; Bethel Music Publishing,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
Ancient of Days,,,TRUE,FALSE,FALSE,FALSE,GYD Conference Song / Added by Adam,,,,,,,,,,,,,,,,,,,,
Thy Word is a Lamp,Amy Grant,,TRUE,FALSE,FALSE,FALSE,Added by Richard,,,,,,,,,,,,,,,,,,,,
To God be the glory,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
to the river,,,TRUE,FALSE,FALSE,FALSE,added by Sue Wise,,,,,,,,,,,,,,,,,,,,
Way Maker,Osinachi Kalu Okoro Egbu,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
what a beautiful name,Hillsong,© 2016 Hillsong Music Publishing Australia,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
what a faithful God have I,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
What is our hope in life and death (ChrIst alone),,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
What is our hope in life and death?,,,TRUE,FALSE,FALSE,FALSE,GYD Conference Song / Added by Adam,,,,,,,,,,,,,,,,,,,,
When I survey,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
When we See Your Face (Prayers of the Saints),,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
Who can light the fires - he is our God,,,TRUE,FALSE,FALSE,FALSE,GYD Conference Song / Added by Adam,,,,,,,,,,,,,,,,,,,,
Who can light the fires of a thousand burning suns - blazing in the heavens - he is our God,,,TRUE,FALSE,FALSE,FALSE,GYD Conference Song / Added by Adam,,,,,,,,,,,,,,,,,,,,
Who you say I am,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
Yet not I but through Christ in me,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
You alone can rescue,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
You’re the word of God the Father (across the lands),,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
"Your cross o Lord - our life, our peace",,,TRUE,FALSE,FALSE,FALSE,GYD Conference Song / Added by Adam,,,,,,,,,,,,,,,,,,,,
Hymn of Heaven,Phil Wickham,,TRUE,TRUE,FALSE,FALSE,Added by Sue,,,,,,,,,,,,,,,,,,,,
