date,Songs,First Line of Song,Music leader,CCLI# or Ref,Reported,,,,,,,,,,,,,,,,,,,,,
23/01/22,Holy Spirit,There's nothing worth more that will ever come close,Mary,6087919,reported 2/2/22,,,,,,,,,,,,,,,,,,,,,
23/01/22,I Stand Amazed,I stand amazed in the presence,Mary,25297,public domain,,,,,,,,,,,,,,,,,,,,,
30/01/22,Holy Spirit,Holy Spirit living Breath of God,Sue,4779872,reported 7/2/22,,,,,,,,,,,,,,,,,,,,,
30/01/22,In Christ Alone,In Christ alone my hope is found,Sue,3350395,reported 7/2/22,,,,,,,,,,,,,,,,,,,,,
30/01/22,Jesus Shall Take The Highest Honour,Jesus shall take the highest honour,Sue,451380,reported 7/2/22,,,,,,,,,,,,,,,,,,,,,
30/01/22,Lord Of The Church,"Lord of the church, we pray for our renewing:",Sue,4524302,reported 7/2/22,,,,,,,,,,,,,,,,,,,,,
30/01/22,Love Incarnate,Mary,Sue,3709829,reported 7/2/22,,,,,,,,,,,,,,,,,,,,,
6/2/22,Hope of the Nations,Jesus hope of the nations,Mary,3540703,reported 22/2/22,,,,,,,,,,,,,,,,,,,,,
6/2/22,Indescribable,From the highest of heights to the depths of the sea,Mary,4403076,reported 22/2/22,,,,,,,,,,,,,,,,,,,,,
6/2/22,My Lighthouse,In my wrestling and in my doubts,Mary,7002032,reported 22/2/22,,,,,,,,,,,,,,,,,,,,,
6/2/22,Our God,Water you turned into wine,Mary,5677416,reported 22/2/22,,,,,,,,,,,,,,,,,,,,,
13/02/22,Build Your Kingdom Here,Come set Your rule and reign,Sue,6186078,reported 22/2/22,,,,,,,,,,,,,,,,,,,,,
13/02/22,Hear The Call Of The Kingdom,"Hear the call of the Kingdom, lift your eyes to the King.",Sue,4930752,reported 22/2/22,,,,,,,,,,,,,,,,,,,,,
13/02/22,Lord Make Me A Mountain,"Lord, make me a mountain standing tall for You,",Sue,40258,reported 22/2/22,,,,,,,,,,,,,,,,,,,,,
13/02/22,Shine,Shine from the inside out,Sue,5186505,reported 22/2/22,,,,,,,,,,,,,,,,,,,,,
13/02/22,Turn Your Eyes Upon Jesus,Turn your eyes upon Jesus,Sue,15960,reported 22/2/22,,,,,,,,,,,,,,,,,,,,,
20/02/22,Great In Power,Praise Him you heavens,Mary,2582339,reported 22/2/22,,,,,,,,,,,,,,,,,,,,,
20/02/22,Is He Worthy?,Do you feel the world is broken?,Mary,7108951,reported 22/2/22,,,,,,,,,,,,,,,,,,,,,
20/02/22,The King Has Come,The King of love is my delight,Mary,2295729,reported 22/2/22,,,,,,,,,,,,,,,,,,,,,
20/02/22,When I Survey The Wondrous Cross,When I survey the wondrous cross,Mary,721333,public domain,,,,,,,,,,,,,,,,,,,,,
20/02/22,Yet Not I But Through Christ In Me,What gift of grace is Jesus my redeemer,Mary,7121852,reported 22/2/22,,,,,,,,,,,,,,,,,,,,,
27/02/22,Better Is One Day,How lovely is Your dwelling place,Sue,1097451,reported 7/3/22,,,,,,,,,,,,,,,,,,,,,
27/02/22,Great Is Thy Faithfulness,Great is Thy faithfulness,Sue,18723,reported 7/3/22,,,,,,,,,,,,,,,,,,,,,
27/02/22,Joy Of The Lord,Though the tears may fall my song will rise,Sue,7047091,reported 7/3/22,,,,,,,,,,,,,,,,,,,,,
27/02/22,Rest In My Love,Rest in My love relax in My care,Sue,377794,reported 7/3/22,,,,,,,,,,,,,,,,,,,,,
27/02/22,You Are Good,I want to scream it out,Sue,5191806,reported 7/3/22,,,,,,,,,,,,,,,,,,,,,
6/3/22,Amazing Grace,"Amazing grace, how sweet the sound",Mary,4768151,reported 7/3/22,,,,,,,,,,,,,,,,,,,,,
6/3/22,Lift Up Your Voices,"Come on, come in, everybody",Mary,"Words and Music by Awesome Cutlery, https://www.awesomecutlery.com/ 
Copyright © 2019 Dan Adams & Gareth Loh",,,,,,,,,,,,,,,,,,,,,,
6/3/22,This I Believe (The Creed),Our Father everlasting,Mary,7018338,reported 7/3/22,,,,,,,,,,,,,,,,,,,,,
13/03/22,Come People Of The Risen King,Come people of the Risen King,Mary,5232617,reported 17/3/22,,,,,,,,,,,,,,,,,,,,,
13/03/22,God of Justice,God of Justice Saviour to all,Mary,4447128,reported 17/3/22,,,,,,,,,,,,,,,,,,,,,
13/03/22,O Church Arise,"O Church arise, and put your armour on;",Mary,4611992,reported 17/3/22,,,,,,,,,,,,,,,,,,,,,
20/03/22,Every Move I Make,Every move I make I make in You,Mary,1595726,reported 28/3/22,,,,,,,,,,,,,,,,,,,,,
20/03/22,Holy Spirit,There's nothing worth more that will ever come close,Mary,6087919,reported 28/3/22,,,,,,,,,,,,,,,,,,,,,
20/03/22,How Great is Our God,"The splendour of the King, clothed in majesty",Mary,4348399,reported 28/3/22,,,,,,,,,,,,,,,,,,,,,
20/03/22,Love Incarnate,With a prayer you fed the hungry,Mary,3709829,reported 28/3/22,,,,,,,,,,,,,,,,,,,,,
