date,Songs,First Line of Song,Music leader,CCLI# or Ref,Reported,,,,,,,,,,,,,,,,,,,,,
5/3/23,This Is Amazing Grace,Who breaks the power of sin and darkness,Sue,6333821,reported 9/3/23,,,,,,,,,,,,,,,,,,,,,
12/3/23,"10,000 Reasons","Bless the Lord, O my soul",Sue,6016351,reported 22/3/23,,,,,,,,,,,,,,,,,,,,,
12/3/23,Build Your Kingdom Here,Come set Your rule and reign,Sue,6186078,reported 22/3/23,,,,,,,,,,,,,,,,,,,,,
12/3/23,There Is A Higher Throne,There is a higher throne,Sue,3994672,reported 22/3/23,,,,,,,,,,,,,,,,,,,,,
12/3/23,This I Believe (The Creed),Our Father everlasting,Sue,7018338,reported 22/3/23,,,,,,,,,,,,,,,,,,,,,
12/3/23,Who You Say I Am,Who am I that the highest King,Sue,7102401,reported 22/3/23,,,,,,,,,,,,,,,,,,,,,
19/03/23,Holy Spirit,Holy Spirit living Breath of God,Ben,4779872,reported 22/3/23,,,,,,,,,,,,,,,,,,,,,
19/03/23,Knowing You,All I once held dear built my life upon,Ben,1045238,reported 22/3/23,,,,,,,,,,,,,,,,,,,,,
19/03/23,O Church Arise,"O Church arise, and put your armour on;",Ben,4611992,reported 22/3/23,,,,,,,,,,,,,,,,,,,,,
19/03/23,Yet Not I But Through Christ In Me,What gift of grace is Jesus my redeemer,Ben,7121852,reported 22/3/23,,,,,,,,,,,,,,,,,,,,,
26/03/23,As The Deer,As the deer pants for the water,Sue,1431,reported 2/4/23,,,,,,,,,,,,,,,,,,,,,
26/03/23,Be Free in the Love of God,Be free in the love of God,Sue,1101684,reported 2/4/23,,,,,,,,,,,,,,,,,,,,,
26/03/23,I Give You My Heart,This is my desire,Sue,1866132,reported 2/4/23,,,,,,,,,,,,,,,,,,,,,
26/03/23,Trinity Hymn,We are heirs of God Almighty,Sue,4001777,reported 2/4/23,,,,,,,,,,,,,,,,,,,,,
26/03/23,We Shall Stand,We shall stand,Sue,30574,reported 2/4/23,,,,,,,,,,,,,,,,,,,,,
26/03/23,You Are The Vine,You are the vine,Sue,52538,reported 2/4/23,,,,,,,,,,,,,,,,,,,,,
2/4/23,Blessed Be Your Name,Blessed be Your name,Chris,3798438,reported 2/4/23,,,,,,,,,,,,,,,,,,,,,
2/4/23,Goodness Of God,I love you Lord,Chris,7117726,reported 2/4/23,,,,,,,,,,,,,,,,,,,,,
2/4/23,Hope of the Nations,Jesus hope of the nations,Chris,3540703,reported 2/4/23,,,,,,,,,,,,,,,,,,,,,
2/4/23,I Stand Amazed,I stand amazed in the presence,Chris,25297,public domain,,,,,,,,,,,,,,,,,,,,,
6/4/23,Amazing Grace,Amazing grace how sweet the sound,youtube,2762836,public domain,,,,,,,,,,,,,,,,,,,,,
9/4/23,Amazing Grace,Amazing grace how sweet the sound,,2762836,public domain,,,,,,,,,,,,,,,,,,,,,
9/4/23,Jesus Christ Is Risen Today,Jesus Christ is risen today,Sue,4958088,public domain,,,,,,,,,,,,,,,,,,,,,
9/4/23,O Praise The Name,I cast my mind to Calvary,Sue,7037787,reported 24/4/23,,,,,,,,,,,,,,,,,,,,,
9/4/23,Resurrection Hymn,See what a morning gloriously bright,Sue,4108797,reported 24/4/23,,,,,,,,,,,,,,,,,,,,,
9/4/23,The Wonder Of Your Cross,The wonder of Your cross,Sue,4372956,reported 24/4/23,,,,,,,,,,,,,,,,,,,,,
9/4/23,To God Be The Glory,To God be the glory great things He has done,,23426,public domain,,,,,,,,,,,,,,,,,,,,,
16/04/23,Come People Of The Risen King,Come people of the Risen King,Sue,5232617,reported 24/4/23,,,,,,,,,,,,,,,,,,,,,
16/04/23,Crown Him With Many Crowns,Crown Him with many crowns,Sue,23938,public domain,,,,,,,,,,,,,,,,,,,,,
16/04/23,Hear The Call Of The Kingdom,"Hear the call of the Kingdom, lift your eyes to the King.",Sue,4930752,reported 24/4/23,,,,,,,,,,,,,,,,,,,,,
16/04/23,Holy Spirit,Holy Spirit living Breath of God,Sue,4779872,reported 24/4/23,,,,,,,,,,,,,,,,,,,,,
16/04/23,My Peace,My peace I give unto you,Sue,38631,reported 24/4/23,,,,,,,,,,,,,,,,,,,,,
23/04/23,He Will Hold Me Fast,When I fear my faith will fail,Sue,7016161,reported 24/4/23,,,,,,,,,,,,,,,,,,,,,
23/04/23,I Surrender All,All to Jesus I surrender,Sue,4453428,reported 24/4/23,,,,,,,,,,,,,,,,,,,,,
23/04/23,Joy Of The Lord,Though the tears may fall my song will rise,Sue,7047091,reported 24/4/23,,,,,,,,,,,,,,,,,,,,,
23/04/23,Lord For The Years,Lord for the years,Sue,224957,reported 24/4/23,,,,,,,,,,,,,,,,,,,,,
23/04/23,The Lion And The Lamb,He's coming on the clouds,Sue,7038281,reported 24/4/23,,,,,,,,,,,,,,,,,,,,,
30/04/23,King Of Kings Majesty,King of kings majesty,Chris,1581778,reported 11/5/23,,,,,,,,,,,,,,,,,,,,,
30/04/23,Our God Saves,In the name of the Father in the name of the Son,Chris,4972837,reported 11/5/23,,,,,,,,,,,,,,,,,,,,,
30/04/23,Psalm 23,The lord's my Shepherd I'll not want,Chris,1585970,reported 11/5/23,,,,,,,,,,,,,,,,,,,,,
30/04/23,What A Faithful God,Lord I come before Your throne of grace,Chris,605095,reported 11/5/23,,,,,,,,,,,,,,,,,,,,,
7/5/23,Cornerstone,My hope is built on nothing less,Ben,6158927,reported 11/5/23,,,,,,,,,,,,,,,,,,,,,
7/5/23,Everlasting God,Strength will rise as we wait upon the Lord,Ben,4556538,reported 11/5/23,,,,,,,,,,,,,,,,,,,,,
7/5/23,I Will Sing Your Praises,Father God I wonder how I managed to exist,Ben,58202,reported 11/5/23,,,,,,,,,,,,,,,,,,,,,
7/5/23,My Lighthouse,In my wrestling and in my doubts,Ben,7002032,reported 11/5/23,,,,,,,,,,,,,,,,,,,,,
14/05/23,From The Top,From the top of my head to the tip of my toes,Sue,4499554,reported 22/5/23,,,,,,,,,,,,,,,,,,,,,
14/05/23,How Great is Our God,"The splendour of the King, clothed in majesty",Sue,4348399,reported 22/5/23,,,,,,,,,,,,,,,,,,,,,
14/05/23,Image Of Invisible God,Image of invisible God,Sue,3709805,reported 22/5/23,,,,,,,,,,,,,,,,,,,,,
14/05/23,"Praise to the Lord, the Almighty","Praise to the Lord, the Almighty",Sue,43073,public domain,,,,,,,,,,,,,,,,,,,,,
14/05/23,Rest In My Love,Rest in My love relax in My care,Sue,377794,reported 22/5/23,,,,,,,,,,,,,,,,,,,,,
21/05/23,Awesome God,Our God is an awesome God,Sue,41099,reported 22/5/23,,,,,,,,,,,,,,,,,,,,,
21/05/23,Behold Our God,Who has held the oceans in His hands?,Sue,5937510,reported 22/5/23,,,,,,,,,,,,,,,,,,,,,
21/05/23,Build Your Kingdom Here,Come set Your rule and reign,Sue,6186078,reported 22/5/23,,,,,,,,,,,,,,,,,,,,,
21/05/23,Goodness Of God,I love you Lord,Sue,7117726,reported 22/5/23,,,,,,,,,,,,,,,,,,,,,
21/05/23,Love Divine,Love divine all loves excelling,Sue,1038991,reported 22/5/23,,,,,,,,,,,,,,,,,,,,,
28/05/23,Blessed Be Your Name,Blessed be Your name,Chris,3798438,reported 17/6/23,,,,,,,,,,,,,,,,,,,,,
28/05/23,Build Your Kingdom Here,Come set Your rule and reign,Chris,6186078,reported 17/6/23,,,,,,,,,,,,,,,,,,,,,
28/05/23,Glorify Thy Name,Father we love You,Chris,1383,reported 17/6/23,,,,,,,,,,,,,,,,,,,,,
28/05/23,Hosanna (Praise Is Rising),Praise is rising,Chris,4662491,reported 17/6/23,,,,,,,,,,,,,,,,,,,,,
28/05/23,This Is Amazing Grace,Who breaks the power of sin and darkness,Chris,6333821,reported 17/6/23,,,,,,,,,,,,,,,,,,,,,
4/6/23,Blessed Be Your Name,Blessed be Your name,Sue,3798438,reported 17/6/23,,,,,,,,,,,,,,,,,,,,,
4/6/23,I Give You My Heart,This is my desire,Sue,1866132,reported 17/6/23,,,,,,,,,,,,,,,,,,,,,
4/6/23,Indescribable,From the highest of heights to the depths of the sea,Sue,4403076,reported 17/6/23,,,,,,,,,,,,,,,,,,,,,
4/6/23,Lord Reign In Me,Over all the earth,Sue,2490706,reported 17/6/23,,,,,,,,,,,,,,,,,,,,,
11/6/23,And Can It Be,And can it be that I should gain,Ben,25280,public domain,,,,,,,,,,,,,,,,,,,,,
11/6/23,Faithful one,Faithful one so unchanging,Ben,465840,reported 17/6/23,,,,,,,,,,,,,,,,,,,,,
11/6/23,Lo He Comes With Clouds Descending,Lo He Comes With Clouds Descending,Ben,3351648,reported 17/6/23,,,,,,,,,,,,,,,,,,,,,
11/6/23,You Alone Can Rescue,Who O Lord could save themselves,Ben,5376377,reported 17/6/23,,,,,,,,,,,,,,,,,,,,,
18/06/23,Christ Our Hope In Life And Death,Christ our hope in life and death,Sue,7147502,reported 17/6/23,,,,,,,,,,,,,,,,,,,,,
18/06/23,Every Promise,From the breaking of the dawn,Sue,4642105,reported 17/6/23,,,,,,,,,,,,,,,,,,,,,
18/06/23,Forever,Give thanks to the Lord,Sue,3148428,reported 17/6/23,,,,,,,,,,,,,,,,,,,,,
18/06/23,Great is thy faithfulness,"Great is thy faithfulness, O God my Father",Sue,18723,reported 17/6/23,,,,,,,,,,,,,,,,,,,,,
18/06/23,Praise My Soul The King Of Heaven,Praise my soul the King of heaven,Sue,800443,public domain,,,,,,,,,,,,,,,,,,,,,
25/06/23,All The Glory,My heart is full of admiration,Chris,729555,reported 4/7/23,,,,,,,,,,,,,,,,,,,,,
25/06/23,Consuming Fire,There must be more than this,Chris,3818569,reported 4/7/23,,,,,,,,,,,,,,,,,,,,,
25/06/23,Forever,Give thanks to the Lord,Chris,3148428,reported 4/7/23,,,,,,,,,,,,,,,,,,,,,
25/06/23,Holy And Anointed One,Jesus Jesus,Chris,164361,reported 4/7/23,,,,,,,,,,,,,,,,,,,,,
25/06/23,Holy Spirit,There's nothing worth more that will ever come close,Chris,6087919,reported 4/7/23,,,,,,,,,,,,,,,,,,,,,
2/7/23,Hope of the Nations,Jesus hope of the nations,Ben,3540703,reported 4/7/23,,,,,,,,,,,,,,,,,,,,,
2/7/23,How Deep The Father's Love For Us,How deep the Father's love for us,Ben,1558110,reported 4/7/23,,,,,,,,,,,,,,,,,,,,,
2/7/23,In Christ Alone,In Christ alone my hope is found,Ben,3350395,reported 4/7/23,,,,,,,,,,,,,,,,,,,,,
2/7/23,This Is Amazing Grace,Who breaks the power of sin and darkness,Ben,6333821,reported 4/7/23,,,,,,,,,,,,,,,,,,,,,
9/7/23,Be Still,Be still for the presence of the Lord,Sue,120824,reported 14/7/23,,,,,,,,,,,,,,,,,,,,,
9/7/23,Build Your Kingdom Here,Come set Your rule and reign,Sue,6186078,reported 14/7/23,,,,,,,,,,,,,,,,,,,,,
9/7/23,By faith,By faith we see the hand of God,Sue,5469291,reported 14/7/23,,,,,,,,,,,,,,,,,,,,,
9/7/23,Come People Of The Risen King,Come people of the Risen King,Sue,5232617,reported 14/7/23,,,,,,,,,,,,,,,,,,,,,
9/7/23,We Shall Stand,We shall stand,Sue,30574,reported 14/7/23,,,,,,,,,,,,,,,,,,,,,
16/07/23,At The Name Of Jesus (Camberwell),At the name of Jesus,Ben,38947,reported 30/7/23,,,,,,,,,,,,,,,,,,,,,
16/07/23,Faithful one,Faithful one so unchanging,Ben,465840,reported 30/7/23,,,,,,,,,,,,,,,,,,,,,
16/07/23,Hear The Call Of The Kingdom,"Hear the call of the Kingdom, lift your eyes to the King.",Ben,4930752,reported 30/7/23,,,,,,,,,,,,,,,,,,,,,
16/07/23,This I Believe (The Creed),Our Father everlasting,Ben,7018338,reported 30/7/23,,,,,,,,,,,,,,,,,,,,,
16/07/23,Yet Not I But Through Christ In Me,What gift of grace is Jesus my redeemer,Ben,7121852,reported 30/7/23,,,,,,,,,,,,,,,,,,,,,
23/07/23,As The Deer,As the deer pants for the water,Chris,1431,reported 30/7/23,,,,,,,,,,,,,,,,,,,,,
23/07/23,Here For You,Let our praise be Your welcome,Chris,5925649,reported 30/7/23,,,,,,,,,,,,,,,,,,,,,
23/07/23,Hope of the Nations,Jesus hope of the nations,Chris,3540703,reported 30/7/23,,,,,,,,,,,,,,,,,,,,,
23/07/23,Lord You Have My Heart,Lord You have my heart,Chris,1108735,reported 30/7/23,,,,,,,,,,,,,,,,,,,,,
23/07/23,Shout to the Lord,My Jesus my Saviour,Chris,1406918,reported 30/7/23,,,,,,,,,,,,,,,,,,,,,
30/07/23,Be Thou My Vision,"Be Thou my vision, O Lord of my heart",Sue,3142950,reported 30/7/23,,,,,,,,,,,,,,,,,,,,,
30/07/23,Christ be our light,"Longing for light, we wait in darkness",Sue,No CCLI Number,,,,,,,,,,,,,,,,,,,,,,
30/07/23,Here I Am to Worship,Light of the world You stepped down into darkness,Sue,3266032,reported 30/7/23,,,,,,,,,,,,,,,,,,,,,
30/07/23,Joy Of The Lord,Though the tears may fall my song will rise,Sue,7047091,reported 30/7/23,,,,,,,,,,,,,,,,,,,,,
30/07/23,You Never Let Go,Even though I walk through the valley,Sue,4674166,reported 30/7/23,,,,,,,,,,,,,,,,,,,,,
6/8/23,"Come, Now is the Time to Worship","Come, now is the time to worship",Chris,2430948,reported 23/8/23,,,,,,,,,,,,,,,,,,,,,
6/8/23,Cornerstone,My hope is built on nothing less,Chris,6158927,reported 23/8/23,,,,,,,,,,,,,,,,,,,,,
6/8/23,Hosanna (Praise Is Rising),Praise is rising,Chris,4662491,reported 23/8/23,,,,,,,,,,,,,,,,,,,,,
6/8/23,In Christ Alone,In Christ alone my hope is found,Chris,3350395,reported 23/8/23,,,,,,,,,,,,,,,,,,,,,
6/8/23,Yet Not I But Through Christ In Me,What gift of grace is Jesus my redeemer,Chris,7121852,reported 23/8/23,,,,,,,,,,,,,,,,,,,,,
13/08/23,"10,000 Reasons","Bless the Lord, O my soul",Ben,6016351,reported 23/8/23,,,,,,,,,,,,,,,,,,,,,
13/08/23,Everlasting God,Strength will rise as we wait upon the Lord,Ben,4556538,reported 23/8/23,,,,,,,,,,,,,,,,,,,,,
13/08/23,Goodness Of God,I love you Lord,Ben,7117726,reported 23/8/23,,,,,,,,,,,,,,,,,,,,,
13/08/23,Indescribable,From the highest of heights to the depths of the sea,Ben,4403076,reported 23/8/23,,,,,,,,,,,,,,,,,,,,,
20/08/23,Crown Him With Many Crowns,Crown Him with many crowns,Sue,23938,public domain,,,,,,,,,,,,,,,,,,,,,
20/08/23,Our God is a Great Big God,Our God is a great big God,Sue,3373437,reported 23/8/23,,,,,,,,,,,,,,,,,,,,,
20/08/23,Thine Be The Glory (Maccabaeus),Thine be the glory,Sue,4473013,reported 23/8/23,,,,,,,,,,,,,,,,,,,,,
20/08/23,This I Believe (The Creed),Our Father everlasting,Sue,7018338,reported 23/8/23,,,,,,,,,,,,,,,,,,,,,
20/08/23,This Is Amazing Grace,Who breaks the power of sin and darkness,Sue,6333821,reported 23/8/23,,,,,,,,,,,,,,,,,,,,,
27/08/23,Hope of the Nations,Jesus hope of the nations,Ben,3540703,reported 1/9/23,,,,,,,,,,,,,,,,,,,,,
27/08/23,How Great Thou Art,O Lord my God when I in awesome wonder,Ben,14181,reported 1/9/23,,,,,,,,,,,,,,,,,,,,,
27/08/23,Lord Reign In Me,Over all the earth,Ben,2490706,reported 1/9/23,,,,,,,,,,,,,,,,,,,,,
27/08/23,Spirit of the Living God,Spirit of the living God,Ben,23488,reported 1/9/23,,,,,,,,,,,,,,,,,,,,,
27/08/23,Who Is There Like You,Who is there like You,Ben,1586010,reported 1/9/23,,,,,,,,,,,,,,,,,,,,,
3/9/23,Here For You,Let our praise be Your welcome,Chris,5925649,reported 28/9/23,,,,,,,,,,,,,,,,,,,,,
3/9/23,Holy And Anointed One,Jesus Jesus,Chris,164361,reported 28/9/23,,,,,,,,,,,,,,,,,,,,,
3/9/23,Hope of the Nations,Jesus hope of the nations,Chris,3540703,reported 28/9/23,,,,,,,,,,,,,,,,,,,,,
3/9/23,In Christ Alone,In Christ alone my hope is found,Chris,3350395,reported 28/9/23,,,,,,,,,,,,,,,,,,,,,
3/9/23,Psalm 23,The Lord's my Shepherd I'll not want,Chris,1585970,reported 28/9/23,,,,,,,,,,,,,,,,,,,,,
3/9/23,Thank You For Saving Me,Thank You for saving me,Chris,1043168,reported 28/9/23,,,,,,,,,,,,,,,,,,,,,
10/9/23,Christ Our Hope In Life And Death,Christ our hope in life and death,Sue,7147502,reported 28/9/23,,,,,,,,,,,,,,,,,,,,,
10/9/23,King of the Ages,King of the ages,Sue,3707663,reported 28/9/23,,,,,,,,,,,,,,,,,,,,,
10/9/23,Mighty to Save,Everyone needs compassion,Sue,4591782,reported 28/9/23,,,,,,,,,,,,,,,,,,,,,
10/9/23,Our God,Water you turned into wine,Sue,5677416,reported 28/9/23,,,,,,,,,,,,,,,,,,,,,
10/9/23,To God Be The Glory,To God be the glory great things He has done,Sue,23426,public domain,,,,,,,,,,,,,,,,,,,,,
17/09/23,Before The Throne Of God,Before the throne of God above,Chris,990391,public domain,,,,,,,,,,,,,,,,,,,,,
17/09/23,Blessed Assurance,Blessed assurance Jesus is mine,Chris,2645094,public domain,,,,,,,,,,,,,,,,,,,,,
17/09/23,Cornerstone,My hope is built on nothing less,Chris,6158927,reported 28/9/23,,,,,,,,,,,,,,,,,,,,,
17/09/23,Great In Power,Praise Him you heavens,Chris,2582339,reported 28/9/23,,,,,,,,,,,,,,,,,,,,,
17/09/23,The Lion And The Lamb,He's coming on the clouds,Chris,7038281,reported 28/9/23,,,,,,,,,,,,,,,,,,,,,
24/09/23,Build Your Kingdom Here,Come set Your rule and reign,Sue,6186078,reported 28/9/23,,,,,,,,,,,,,,,,,,,,,
24/09/23,Everlasting God,Strength will rise as we wait upon the Lord,Sue,4556538,reported 28/9/23,,,,,,,,,,,,,,,,,,,,,
24/09/23,Forever,Give thanks to the Lord,Sue,3148428,reported 28/9/23,,,,,,,,,,,,,,,,,,,,,
24/09/23,Holy Spirit,Holy Spirit living Breath of God,Sue,4779872,reported 28/9/23,,,,,,,,,,,,,,,,,,,,,
24/09/23,Hosanna (Praise Is Rising),Praise is rising,Sue,4662491,reported 28/9/23,,,,,,,,,,,,,,,,,,,,,
1/10/23,"10,000 Reasons","Bless the Lord, O my soul",Richard,6016351,reported 20/10/23,,,,,,,,,,,,,,,,,,,,,
1/10/23,Let Everything That Has Breath,Let everything that,Richard,2430979,reported 20/10/23,,,,,,,,,,,,,,,,,,,,,
1/10/23,We Plough The Fields And Scatter (Wir Pflügen),We plough the fields and scatter,Richard,328554,public domain,,,,,,,,,,,,,,,,,,,,,
1/10/23,Yet Not I But Through Christ In Me,What gift of grace is Jesus my redeemer,Richard,7121852,reported 20/10/23,,,,,,,,,,,,,,,,,,,,,
8/10/23,Behold Our God,Who has held the oceans in His hands?,Sue,5937510,reported 20/10/23,,,,,,,,,,,,,,,,,,,,,
8/10/23,Every Promise,From the breaking of the dawn,Sue,4642105,reported 20/10/23,,,,,,,,,,,,,,,,,,,,,
8/10/23,His Mercy Is More,What love could remember no wrongs we have done,Sue,7065053,reported 20/10/23,,,,,,,,,,,,,,,,,,,,,
8/10/23,Holy Holy Holy,Holy holy holy Lord God Almighty,Sue,1156,public domain,,,,,,,,,,,,,,,,,,,,,
8/10/23,You Never Let Go,Even though I walk through the valley,Sue,4674166,reported 20/10/23,,,,,,,,,,,,,,,,,,,,,
15/10/23,Faithful One,Faithful one so unchanging,Chris,465840,reported 20/10/23,,,,,,,,,,,,,,,,,,,,,
15/10/23,Hosanna (Praise Is Rising),Praise is rising,Chris,4662491,reported 20/10/23,,,,,,,,,,,,,,,,,,,,,
15/10/23,Open The Eyes Of My Heart,Open the eyes of my heart Lord,Chris,2298355,reported 20/10/23,,,,,,,,,,,,,,,,,,,,,
15/10/23,Still,Hide me now,Chris,3940963,reported 20/10/23,,,,,,,,,,,,,,,,,,,,,
15/10/23,This I Believe (The Creed),Our Father everlasting,Chris,7018338,reported 20/10/23,,,,,,,,,,,,,,,,,,,,,
22/10/23,Be The Centre,"Jesus, be the Centre",Ben,2650429,reported 1/11/23,,,,,,,,,,,,,,,,,,,,,
22/10/23,Build Your Kingdom Here,Come set Your rule and reign,Ben,6186078,reported 1/11/23,,,,,,,,,,,,,,,,,,,,,
22/10/23,By Faith,By faith we see the hand of God,Ben,5469291,reported 1/11/23,,,,,,,,,,,,,,,,,,,,,
22/10/23,Come People Of The Risen King,Come people of the Risen King,Ben,5232617,reported 1/11/23,,,,,,,,,,,,,,,,,,,,,
22/10/23,When I Survey The Wondrous Cross,When I survey the wondrous cross,Ben,3296590,public domain,,,,,,,,,,,,,,,,,,,,,
29/10/23,Before The Throne Of God,Before the throne of God above,Sue,990391,public domain,,,,,,,,,,,,,,,,,,,,,
29/10/23,Better Is One Day,How lovely is Your dwelling place,Sue,1097451,reported 1/11/23,,,,,,,,,,,,,,,,,,,,,
29/10/23,Love Divine,Love divine all loves excelling,Sue,1038991,reported 1/11/23,,,,,,,,,,,,,,,,,,,,,
29/10/23,"Praise to the Lord, the Almighty","Praise to the Lord, the Almighty",Sue,43073,public domain,,,,,,,,,,,,,,,,,,,,,
29/10/23,Who You Say I Am,Who am I that the highest King,Sue,7102401,reported 1/11/23,,,,,,,,,,,,,,,,,,,,,
5/11/23,My Lighthouse,In my wrestling and in my doubts,Richard,7002032,reported 18/11/23,,,,,,,,,,,,,,,,,,,,,
5/11/23,Thank You God,,Richard,@ Richard,,,,,,,,,,,,,,,,,,,,,,
5/11/23,The Spirit Lives To Set Us Free,The Spirit lives to set us free,Richard,2134598,reported 18/11/23,,,,,,,,,,,,,,,,,,,,,
5/11/23,This I Believe (The Creed),Our Father everlasting,Richard,7018338,reported 18/11/23,,,,,,,,,,,,,,,,,,,,,
5/11/23,Thy Word,Thy Word is a lamp unto my feet,Richard,14301,reported 18/11/23,,,,,,,,,,,,,,,,,,,,,
5/11/23,Way Maker,You are here moving in our midst,Richard,7115744,reported 18/11/23,,,,,,,,,,,,,,,,,,,,,
12/11/23,Apostle's Creed,I believe in God the Father,Sue,4001650,reported 18/11/23,,,,,,,,,,,,,,,,,,,,,
12/11/23,Beautiful Saviour,All my days I will sing this song of gladness,Sue,2492216,reported 18/11/23,,,,,,,,,,,,,,,,,,,,,
12/11/23,Cornerstone,My hope is built on nothing less,Sue,6158927,reported 18/11/23,,,,,,,,,,,,,,,,,,,,,
12/11/23,Lord For The Years,Lord for the years,Sue,224957,reported 18/11/23,,,,,,,,,,,,,,,,,,,,,
12/11/23,Remembrance Hymn,O Lord we look upon the past,Sue,7120048,reported 18/11/23,,,,,,,,,,,,,,,,,,,,,
19/11/23,As The Deer,As the deer pants for the water,Ben,1431,reported 06/12/23,,,,,,,,,,,,,,,,,,,,,
19/11/23,Christ Our Hope In Life And Death,Christ our hope in life and death,Ben,7147502,reported 06/12/23,,,,,,,,,,,,,,,,,,,,,
19/11/23,Guide Me O Thy Great Redeemer,Guide me O Thou great Redeemer,Ben,1448,public domain,,,,,,,,,,,,,,,,,,,,,
19/11/23,There Is A Higher Throne,There is a higher throne,Ben,3994672,reported 06/12/23,,,,,,,,,,,,,,,,,,,,,
19/11/23,We Shall Stand,We shall stand,Ben,30574,reported 06/12/23,,,,,,,,,,,,,,,,,,,,,
26/11/23,His Mercy Is More,What love could remember no wrongs we have done,Sue,7065053,reported 06/12/23,,,,,,,,,,,,,,,,,,,,,
26/11/23,I Cannot Tell,I cannot tell why He whom angels worship,Sue,110119,reported 06/12/23,,,,,,,,,,,,,,,,,,,,,
26/11/23,O Church Arise,"O Church arise, and put your armour on;",Sue,4611992,reported 06/12/23,,,,,,,,,,,,,,,,,,,,,
26/11/23,The Lion And The Lamb,He's coming on the clouds,Sue,7038281,reported 06/12/23,,,,,,,,,,,,,,,,,,,,,
26/11/23,There Is A Higher Throne,There is a higher throne,Sue,3994672,reported 06/12/23,,,,,,,,,,,,,,,,,,,,,
3/12/23,Behold Our God,Behold our God seated on his throne,Richard,5937510,reported 07/12/23,,,,,,,,,,,,,,,,,,,,,
3/12/23,Everlasting God,Strength will rise as we wait upon the Lord,Richard,4556538,reported 06/12/23,,,,,,,,,,,,,,,,,,,,,
3/12/23,Noel,Love incarnate love divine,Richard,7050419,reported 06/12/23,,,,,,,,,,,,,,,,,,,,,
3/12/23,O Come All Ye Faithful (Adeste Fideles),O come all ye faithful,Richard,4758525,public domain,,,,,,,,,,,,,,,,,,,,,
3/12/23,The Blessing,The Lord bless you,Richard,7147007,reported 06/12/23,,,,,,,,,,,,,,,,,,,,,
10/12/23,Great Things,Come let us worship our King.,Sue,7111321,reported 03/01/24,,,,,,,,,,,,,,,,,,,,,
10/12/23,Here I Am to Worship,Light of the world You stepped down into darkness,Sue,3266032,reported 03/01/24,,,,,,,,,,,,,,,,,,,,,
10/12/23,Joy To The World,Joy to the world the Lord is come,Sue,24016,public domain,,,,,,,,,,,,,,,,,,,,,
10/12/23,Our God reigns,How lovely on the mountains,Sue,8458,reported 03/01/24,,,,,,,,,,,,,,,,,,,,,
10/12/23,Shout to the Lord,My Jesus my Saviour,Sue,1406918,reported 03/01/24,,,,,,,,,,,,,,,,,,,,,
17/12/23,Calypso Carol,See Him lying on a bed of straw,Ben,626892,reported 03/01/24,,,,,,,,,,,,,,,,,,,,,
17/12/23,Carol Service,,Sue,,,,,,,,,,,,,,,,,,,,,,,
17/12/23,Carol Service,,Sue,,,,,,,,,,,,,,,,,,,,,,,
17/12/23,Carol Service,,Sue,,,,,,,,,,,,,,,,,,,,,,,
17/12/23,Carol Service,,Sue,,,,,,,,,,,,,,,,,,,,,,,
17/12/23,Carol Service,,Sue,,,,,,,,,,,,,,,,,,,,,,,
17/12/23,Carol Service,,Sue,,,,,,,,,,,,,,,,,,,,,,,
17/12/23,Carol Service,,Sue,,,,,,,,,,,,,,,,,,,,,,,
17/12/23,Carol Service,,Sue,,,,,,,,,,,,,,,,,,,,,,,
17/12/23,Hark The Herald Angels Sing (Mendelssohn),Hark the herald angels sing,Ben,27738,public domain,,,,,,,,,,,,,,,,,,,,,
17/12/23,Joy To The World,Joy to the world the Lord is come,Ben,24016,public domain,,,,,,,,,,,,,,,,,,,,,
17/12/23,Once In Royal David's City,Once in royal David's city,Ben,197156,public domain,,,,,,,,,,,,,,,,,,,,,
17/12/23,The First Noel,The first Noel the angel did say,Ben,31047,public domain,,,,,,,,,,,,,,,,,,,,,
24/12/23,Away In A Manger,Away in a manger,Richard,38583,public domain,,,,,,,,,,,,,,,,,,,,,
24/12/23,Hark The Herald Angels Sing (Mendelssohn),Hark the herald angels sing,Richard,27738,public domain,,,,,,,,,,,,,,,,,,,,,
24/12/23,Many Years Ago,Many years ago in a stable far away,Richard,"Words by Rev Barry Shipley
(to tune of Jingle Bells)",,,,,,,,,,,,,,,,,,,,,,
24/12/23,Noel,Love incarnate love divine,Richard,7050419,reported 03/01/24,,,,,,,,,,,,,,,,,,,,,
24/12/23,Noel,Love incarnate love divine,Richard,7050419,reported 03/01/24,,,,,,,,,,,,,,,,,,,,,
24/12/23,O Come All Ye Faithful (Adeste Fideles),O come all ye faithful,Richard,4758525,public domain,,,,,,,,,,,,,,,,,,,,,
24/12/23,O Praise The Name (Anástasis),I cast my mind to Calvary,Richard,7037787,reported 03/01/24,,,,,,,,,,,,,,,,,,,,,
24/12/23,Praise to the Lord The Almighty,Praise to the Lord the Almighty,Richard,43073,public domain,,,,,,,,,,,,,,,,,,,,,
24/12/23,The Spirit Lives To Set Us Free,The Spirit lives to set us free,Richard,2134598,reported 03/01/24,,,,,,,,,,,,,,,,,,,,,
25/12/23,Hark The Herald Angels Sing (Mendelssohn),Hark the herald angels sing,Richard,27738,public domain,,,,,,,,,,,,,,,,,,,,,
